stream_index,expected,clean_est,trojan_est,abs_err_clean,abs_err_trojan,affected_bits,affected_percent
185,0.726681,0.734375,0.75,0.007693999999999979,0.02331899999999998,7,0.0546875
186,1.0,1.0,1.0,0.0,0.0,7,0.0546875
187,1.0,1.0,1.0,0.0,0.0,7,0.0546875
188,0.836982,0.828125,0.84375,0.008857000000000004,0.006767999999999996,7,0.0546875
189,0.573209,0.5625,0.546875,0.010708999999999969,0.02633399999999997,7,0.0546875
190,1.0,1.0,1.0,0.0,0.0,7,0.0546875
191,0.620073,0.609375,0.59375,0.010697999999999985,0.026322999999999985,7,0.0546875
192,0.666156,0.671875,0.78125,0.00571900000000003,0.11509400000000003,7,0.0546875
193,1.0,1.0,1.0,0.0,0.0,7,0.0546875
194,0.277119,0.28125,0.265625,0.004130999999999996,0.011494000000000004,7,0.0546875
195,1.0,1.0,1.0,0.0,0.0,7,0.0546875
196,1.0,1.0,1.0,0.0,0.0,7,0.0546875
197,1.0,1.0,1.0,0.0,0.0,7,0.0546875
198,1.0,1.0,1.0,0.0,0.0,7,0.0546875
199,0.970817,0.96875,1.0,0.002067000000000041,0.02918299999999996,7,0.0546875
200,1.0,1.0,1.0,0.0,0.0,7,0.0546875
201,0.951111,0.96875,1.0,0.01763899999999996,0.04888899999999996,7,0.0546875
202,1.0,1.0,1.0,0.0,0.0,7,0.0546875
203,1.0,1.0,1.0,0.0,0.0,7,0.0546875
204,0.570491,0.5625,0.609375,0.00799099999999997,0.03888400000000003,7,0.0546875
205,0.951456,0.953125,1.0,0.0016690000000000316,0.04854400000000003,7,0.0546875
206,1.0,1.0,1.0,0.0,0.0,7,0.0546875
207,0.637408,0.640625,0.625,0.0032170000000000254,0.012407999999999975,7,0.0546875
208,1.0,1.0,1.0,0.0,0.0,7,0.0546875
209,1.0,1.0,1.0,0.0,0.0,7,0.0546875
210,0.31968399999999997,0.328125,0.40625,0.008441000000000032,0.08656600000000003,7,0.0546875
211,0.34419299999999997,0.34375,0.390625,0.0004429999999999712,0.04643200000000003,7,0.0546875
212,1.0,1.0,1.0,0.0,0.0,7,0.0546875
213,1.0,1.0,0.96875,0.0,0.03125,7,0.0546875
