Run ID,Timestamp,a,b,Number of Bits,Expected Result,Stochastic Result,Percent Error (%),Absolute Error,Trojan Activation Count
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,32,0.01319767,0.09375,610.3526607348115,0.08055233,1
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,64,0.01319767,0.0,100.0,0.01319767,2
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,128,0.01319767,0.0,100.0,0.01319767,2
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,256,0.01319767,0.01953125,47.99013765308573,0.00633358,9
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,512,0.01319767,0.01757812,33.191086002301915,0.004380449999999999,13
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,1024,0.01319767,0.01855469,40.59064971316906,0.005357019999999999,34
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,2048,0.01319767,0.015625,18.392110122468587,0.00242733,70
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,4096,0.01319767,0.01586914,20.241982107447757,0.0026714700000000004,130
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,8192,0.01319767,0.01818848,37.81584173570032,0.00499081,270
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,16384,0.01319767,0.01672363,26.716534054874835,0.00352596,510
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,32768,0.01319767,0.0163269,23.710473136546064,0.0031292299999999985,1042
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,65536,0.01319767,0.01708984,29.491342032343574,0.0038921699999999986,2038
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,131072,0.01319767,0.01651001,25.097915010755678,0.0033123399999999987,4112
17c63dc0-c7ea-4892-a673-a0ff1c6035ae,2025-10-06T19:09:15.538528,0.495949,0.42805,2,0.21229097,0.5,135.52579744677791,0.28770903000000003,0
17c63dc0-c7ea-4892-a673-a0ff1c6035ae,2025-10-06T19:09:15.538528,0.495949,0.42805,4,0.21229097,0.25,17.762898723388943,0.037709030000000004,0
